*sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*host	*lat_lon	altitude	chem_administration	host_body_habitat	host_diet	host_last_meal	host_life_stage	host_sex	isolation_source	perturbation	samp_collect_device	samp_mat_process	samp_size	samp_store_temp	samp_vol_we_dna_ext	description	duplicates *once **twice	DNA_plate	DNA_well
Ja31/14161	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/14161	nan	nan	nan	nan	-80C	nan	nan	nan	P8	F4
Ja31/29705	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29705	nan	nan	nan	nan	-80C	nan	nan	nan	P8	D7
Ja31/29654	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29654	nan	nan	nan	nan	-80C	nan	nan	nan	P7	E3
Ja31/29898	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29898	nan	nan	nan	nan	-80C	nan	nan	nan	P8	H11
Ja31/29631	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/29631	nan	nan	nan	nan	-80C	nan	nan	nan	P5	F9
Ja31/14277	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/14277	nan	nan	nan	nan	-80C	nan	nan	nan	P8	D1
Ja31/14184	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/14184	nan	nan	nan	nan	-80C	nan	nan	nan	P5	C10
Ja31/14204	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1C/14204	nan	nan	nan	nan	-80C	nan	nan	nan	P8	D8
Ja31/14182	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/14182	nan	nan	nan	nan	-80C	nan	nan	nan	P7	H4
Ja31/29666	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/29666	nan	nan	nan	nan	-80C	nan	nan	nan	P7	H12
Ja31/29948	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/29948	nan	nan	nan	nan	-80C	nan	nan	nan	P7	H10
Ja31/29945	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/29945	nan	nan	nan	nan	-80C	nan	nan	nan	P8	C2
Ja31/14271	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/14271	nan	nan	nan	nan	-80C	nan	nan	nan	P5	E7
Ja31/29867	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1D/29867	nan	nan	nan	nan	-80C	nan	nan	nan	P8	D5
Ja31/14200	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1E/14200	nan	nan	nan	nan	-80C	nan	nan	nan	P7	G5
Ja31/29706	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1E/29706	nan	nan	nan	nan	-80C	nan	nan	nan	P8	A2
Ja31/29876	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1E/29876	nan	nan	nan	nan	-80C	nan	nan	nan	P8	F10
Ja31/14169	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1E/14169	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F6
Ja31/14315	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1E/14315	nan	nan	nan	nan	-80C	nan	nan	nan	P7	E11
Ja31/29764	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1E/29764	nan	nan	nan	nan	-80C	nan	nan	nan	P7	B10
Ja31/29765	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/29765	nan	nan	nan	nan	-80C	nan	nan	nan	P8	C12
Ja31/14159	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/14159	nan	nan	nan	nan	-80C	nan	nan	nan	P5	A5
Ja31/14205	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/14205	nan	nan	nan	nan	-80C	nan	nan	nan	P5	G9
Ja31/29752	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/29752	nan	nan	nan	nan	-80C	nan	nan	nan	P8	G9
Ja31/29875	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2A/29875	nan	nan	nan	nan	-80C	nan	nan	nan	P7	H5
Ja31/29644	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/29644	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F3
Ja31/29914	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/29914	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F7
Ja31/14276	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/14276	nan	nan	nan	nan	-80C	nan	nan	nan	P8	D4
Ja31/14172	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/14172	nan	nan	nan	nan	-80C	nan	nan	nan	P8	B12
Ja31/14233	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/14233	nan	nan	nan	nan	-80C	nan	nan	nan	P8	F6
Ja31/29792	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2B/29792	nan	nan	nan	nan	-80C	nan	nan	nan	P8	C8
Ja31/29864	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29864	nan	nan	nan	nan	-80C	nan	nan	nan	P7	A12
Ja31/29778	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29778	nan	nan	nan	nan	-80C	nan	nan	nan	P8	H8
Ja31/14317	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/14317	nan	nan	nan	nan	-80C	nan	nan	nan	P7	C5
Ja31/29742	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29742	nan	nan	nan	nan	-80C	nan	nan	nan	P8	H1
Ja31/14273	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/14273*	nan	nan	nan	nan	-80C	nan	nan	*	P8	E9
Ja31/29846	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	2C/29846	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F2
Ja31/29924	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/29924	nan	nan	nan	nan	-80C	nan	nan	nan	P7	B6
Ja31/14209	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14209	nan	nan	nan	nan	-80C	nan	nan	nan	P8	B9
Ja31/14284	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14284*	nan	nan	nan	nan	-80C	nan	nan	*	P6	A6
Ja31/14284.2	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14284*	nan	nan	nan	nan	-80C	nan	nan	*	P8	H3
Ja31/14275	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14275	nan	nan	nan	nan	-80C	nan	nan	nan	P8	G6
Ja31/14188	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14188	nan	nan	nan	nan	-80C	nan	nan	nan	P7	C10
Ja31/14307	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3A/14307	nan	nan	nan	nan	-80C	nan	nan	nan	P7	E1
Ja31/14183	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/14183	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F4
Ja31/14306	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/14306	nan	nan	nan	nan	-80C	nan	nan	nan	P8	A1
Ja31/29901	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/29901	nan	nan	nan	nan	-80C	nan	nan	nan	P8	E2
Ja31/14163	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/14163	nan	nan	nan	nan	-80C	nan	nan	nan	P7	D2
Ja31/14308	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/14308	nan	nan	nan	nan	-80C	nan	nan	nan	P7	E2
Ja31/29700	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3B/29700	nan	nan	nan	nan	-80C	nan	nan	nan	P7	H8
Ja31/29704	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3C/29704	nan	nan	nan	nan	-80C	nan	nan	nan	P7	H7
Ja31/29863	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3C/29863	nan	nan	nan	nan	-80C	nan	nan	nan	P8	F7
Ja31/29692	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3C/29692	nan	nan	nan	nan	-80C	nan	nan	nan	P5	C4
Ja31/14231	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3C/14231	nan	nan	nan	nan	-80C	nan	nan	nan	P7	B3
Ja31/14288	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	3C/14288	nan	nan	nan	nan	-80C	nan	nan	nan	P7	D8
Ja31/14305	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/14305	nan	nan	nan	nan	-80C	nan	nan	nan	P7	D1
Ja31/29949	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29949	nan	nan	nan	nan	-80C	nan	nan	nan	P6	E7
Ja31/29781	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29781	nan	nan	nan	nan	-80C	nan	nan	nan	P4	A3
Ja31/29781.2	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29781	nan	nan	nan	nan	-80C	nan	nan	nan	P5	B5
Ja31/29668	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29668	nan	nan	nan	nan	-80C	nan	nan	nan	P7	A4
Ja31/29668.2	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29668	nan	nan	nan	nan	-80C	nan	nan	nan	P7	D6
Ja31/14265	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/14265	nan	nan	nan	nan	-80C	nan	nan	nan	P7	D9
Ja31/14265.2	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/14265	nan	nan	nan	nan	-80C	nan	nan	nan	P8	G12
Ja31/29653	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29653	nan	nan	nan	nan	-80C	nan	nan	nan	P6	B5
Ja31/29653.2	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4A/29653	nan	nan	nan	nan	-80C	nan	nan	nan	P7	D3
Ja31/29793	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/29793	nan	nan	nan	nan	-80C	nan	nan	nan	P6	E8
Ja31/14208	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/14208	nan	nan	nan	nan	-80C	nan	nan	nan	P5	C8
Ja31/14190	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/14190	nan	nan	nan	nan	-80C	nan	nan	nan	P4	E11
Ja31/14190.2	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/14190	nan	nan	nan	nan	-80C	nan	nan	nan	P5	H3
Ja31/14190.3	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/14190	nan	nan	nan	nan	-80C	nan	nan	nan	P8	A6
Ja31/29797	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/29797	nan	nan	nan	nan	-80C	nan	nan	nan	P4	E2
Ja31/29797.2	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/29797	nan	nan	nan	nan	-80C	nan	nan	nan	P6	B4
Ja31/29796	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	4B/29796	nan	nan	nan	nan	-80C	nan	nan	nan	P5	D6
